id,text,i_f25,i_f16,i_f05,i_f01,i_f02,i_f04,i_f15,i_f27,i_f28,i_f30
0,目前，中美在内绝大部分国家都对印度旅居史人员实行严格的控制，所以境外人员输入这是最不容易暴雷的点。我说说我想到的最迫切最危险的点:候鸟1、世界上候鸟迁徙路线总共8条，其中3条途径我国，这三条之中，中亚候鸟迁徙路线途径我国10多个省市；2、中亚路线候鸟每年9月底开始南飞，历时2个月，最远的飞到印度（重点），次年3月底开始回归北方；3、鸟类是被证实可以携带新冠肺炎病毒的，印度🇮🇳这次的变种病毒很有可能已经随候鸟迁徙入侵我国；4、候鸟从印度飞抵我国的时间从南到北依次为4月中旬到5月底，也就是说目前已飞抵我国西南部和中部；5、五一节假日全国人口流动；6、目前的新冠疫苗对印度变种病毒是否有效是最大的问题；7、本人一介草民，我想我能想到的党和国家这么多专家学者也必然能想到；8、以上言论纯属个人观点和担忧，无意引起社会恐慌，我只是想善意的提醒大家出行旅游仍旧要带好口罩做好防护，如此言论造成负面影响，请联系我删帖。,0,0,0,0,0,0,0,0,0,0
1,如果我的猜测是正确的，那么从现在开始，做好防护防控是当务之急，重中之重，好多人已经松懈了，觉得疫苗也打了，中国境内是全世界最安全的，这种思想一点也不安全。,0,0,0,0,0,0,0,0,0,0
2,如果可以，帮我加个精，谢谢了,0,0,0,0,0,0,0,0,0,0
3,让更多的人看到，并保持警惕,0,0,0,0,0,0,0,0,0,0
4,爆就爆吧口罩生产线已上线，就等印度来买了,0,0,0,0,0,0,0,0,0,0
5,免费送是肯定不可能的,0,0,0,0,0,0,0,0,0,0
6,不吃鸟肉不就得了,0,0,0,0,0,0,0,0,0,0
7,鸟类不会产生气溶胶吧……呼吸方式不一样吧…,0,0,0,0,0,0,0,0,0,0
8,候鸟是怎么飞越喜马拉雅山的,0,0,0,0,0,0,0,0,0,0
9,可能性不大，去年没有什么事情基本可以排除。毕竟鸟类和人类接触机会不是很大，特别是带病毒的鸟类,0,0,0,0,0,0,0,0,0,0
10,我们不仅要放动物迁徙，如果可能，还要支援印度，尼泊尔已经沦陷了，美军早在4月就撤出驻扎在阿富汗二十多年的军队，他们的目的已经昭然若揭，我们的周边缅甸如果失守后果不堪设想，接壤的第一个就是云南，你们应该之前都刷到过云南边境的事情，今年不好过,0,0,0,0,0,0,0,0,0,0
11,就简单说几句，为了更多地帮助你们，来详细看一下这个新冠病毒的笑话，这个新冠病毒的骗局。什么事都没有！然而全世界都戴上了口罩，每个人都很害怕，害怕死亡。他们不知道他们都会死的！这是真的！你们都会死的，我也会的，无论戴不戴口罩，都一样。我们都会死的！但在死之前，（重要的是）你是否能够拥有自己的生活。我们可以待在家里害怕，（保持）社交距离。没有生活，没有拥抱，没有接触，没有生活。是的！我们都会死的，我们所有人都会的！问题不在于我们会不会死。问题而在于，在死之前你们想要拥有自己的生活吗？你们是否希望在死之前好好的生活呢？你们希望吗？享受吧！享受吧！就在现在。要么现在，要么永远没有。（唱）要么现在，要么永远没有......病毒，每个人突然都害怕病毒了，好像它是新事物一样！啊！病毒！它并不是新事物。自人类诞生之初起，地球上就有了数百万种病毒。数百万哦！而我们还活着。你可以戴上口罩，它们还在这里，而且它们明天还会在这里。你想打多少疫苗都可以，但病毒还在这里。病毒对于我们的健康是有益的。有些病毒能帮助我们保持健康。所以是时候停止害怕病毒，而且还要欢迎病毒。我们身体里有一种非常好的东西叫做免疫系统，它是由耶洛因设置的，我们都拥有它。有多少细菌和病毒进入了我们身体里呢？每天都有数百万。从你出生的那一刻起，从小婴儿直到现在，再到你死去。每天都有新的细菌和病毒进入你的体内。我们的身体中有50万亿个细胞。但是我们体内的细菌和病毒却比细胞还要多50%。你们能理解吗？我们的身体里有比我们的DNA细胞还多50%的细菌和病毒，并不从属于我们的身体。如果你拿一个显微镜来观察你的皮肤，一个电子显微镜下，就是一个动物园！到处都是怪物。你可以淋浴、泡澡，你想做什么都行，但是你身上仍然有一个动物园。有些人擦洗，特别在日本，他们用力擦洗皮肤，为了去除......你去除的是什么呢？是皮肤，而不是污垢。皮肤，你需要你的皮肤。如果你经常去除皮肤的话，你将会得皮肤病。日本，嗯？人们喜爱，他们擦洗、擦洗，再擦洗......（日本）是世界上皮肤病发病率最高的国家。为什么？因为他们去除了皮肤！而你需要这些细菌、这些小怪物们！上网去查一下，它们真的很像螃蟹，到处都是螃蟹。你需要它们。它们保护你免受有害细菌和病毒的侵害。在你的肠子里，对吧？内脏里充满了细菌，你需要它们来消化你的食物。如果你去除了这些细菌的话，就会腹泻。这就是为什么当你服用有害的抗生素时，抗生素糟透了，抗生素的意思就是对抗生命。它们就会杀死你内脏里的所有细菌，然后导致腹泻。腹泻（日语）怎么说的？【日语】腹泻、腹泻、腹泻、腹泻、腹泻......所以你需要细菌。有些人有一个健康问题，因为他们在一生中服用了太多的抗生素，他们不断地腹泻。不好玩，对吧？每天、每天、每天，从未停止过。那就是为什么有时候好医生，他们会给你开一些酵母片，当你服用抗生素时，同时也服用细菌......但是对某些人来说，这行不通。那么他们会怎么做呢？想像一下，你生活中的每一天里都在拉肚子。不止一次，一天五至六次。你跑厕所。这不好玩......而你，你会失去大量的矿物质和维生素，你的健康状况也会一天比一天差。所以有些医院的医生开始采用一种解决方案。他们用一根管子插入某个健康人的肠道内，从他们的粪便中提取一些细菌。他们取出后，将其注入到腹泻者的体内。然后腹泻就停止了。那就是你有多么需要这些细菌的证据。如果没有细菌和病毒也存在于你的体内，你便无法生存。所以不用害怕病毒、细菌、传染病，消毒一切......那是愚蠢的！当我年轻时，也许在座的各位都不那么年轻了，也和我记得的那样，我们曾在尘土里和淤泥里玩耍，弄得到处都是泥巴，有时还把它塞进了嘴里。我记得当我还是个小孩子时，会找一些羊粪，很可爱的，它们看起来很像巧克力，当然，我也尝过。噢！不是巧克力哦！而我还活着，我已七十四岁了。你们根本不知道，我嘴里塞满了那么多的羊粪。当我还是个小孩子时，我吃饭前从不洗手。但是多亏了羊粪，我的免疫系统非常的强大。不仅仅羊粪，还和女孩子亲吻！和无数的女孩子们法式接吻。戴着口罩你是不可能法式接吻的。好恶心，口罩里面......而我活得很健康。七十四岁了！如今，每个人都很害怕。他们使用凝胶（消毒洗手液），他们清洗一切，而他们却变得越来越虚弱。然后，任何细菌或病毒一旦经过，你就生病了。你们知道有些孩子，他们有一个问题。他们从出生起就缺失了免疫系统，一种遗传问题。所以他们把这些孩子，可怜的孩子们，放进一个球形塑料罩里。因为任何微生物、细菌或病毒一旦侵入，他们就会死去。他们没有免疫系统。他们有基因缺陷。但是一些医生，一些聪明的医生逐渐地在球形罩中加入了一些细菌，于是他们开始建立起了免疫系统。随着（加入）越来越多的（细菌），最后在经过了数周治疗之后，治疗并非指药物，对吧？治疗就是给他们细菌、病毒、一切，为了促使他们的身体做出反应。然后，你的身体便有了反应。每一年在日本都有2到5万人死于流感。流行性感冒。你们在生活中肯定都经历过的。流感是什么呢？一个小小的病毒。如果你是健康的，如果你吃很好的食物，并让你的身体晒太阳，就能保护好自身。但如果你有点虚弱、疲倦、压力、劣质食物、饮酒、抽烟、吸毒，然后身体就会变得虚弱。那得了流感会怎么样呢？你的身体会发烧！什么是发烧呢？身体说:“噢，噢！有细菌。是一个病毒，我们需要杀死它！”我们非常幸运，病毒和细菌它们喜爱我们身体37°摄氏度的正常体温。他们喜爱那个温度。但在达到了39度或40度时，它们就会立即死去。它们非常脆弱。所以你们的身体，是非常智能的。细菌吗？发烧。让我们把温度升高吧。所有的细菌都死掉了。然后，我们就活下来了。所以发烧是一件非常好的事情。在过去，愚蠢的医生会开些退烧药。你阻止了发烧，却招来了更多的感染和更严重的疾病。保持发烧！躺在床上，喝水，细菌正在死去。在床上躺几天后，你就康复了。这就是免疫系统。你们都拥有强大的免疫系统。怎样让它变得更加强大呢？不戴口罩。亲吻别人。获得尽可能多的细菌。晒太阳。在日本，人们不想晒太阳，他们想要保持白皙的皮肤。最强有力的免疫系统工具之一就是维生素D3。你不能够通过吃药来获得它。太阳会在你体内创造出它。我不是说，每天要在太阳下待上12个小时，而是20分钟，你便会拥有强大的免疫系统。很简单，新鲜水果、新鲜蔬菜，然后你的身体就拥有了一切去保持强壮和健康。你对自己的免疫系统负责任。还有耶洛因，感谢您们耶洛因。他们给了我们这个奇妙的东西，就是免疫系统。总结一下这次简短的讲话，是什么让你的免疫系统变得虚弱呢？什么是让你的免疫系统变得越来越虚弱的头号手段呢？它究竟是什么？是恐惧！是压力！恐惧产生了压力。当你看电视时，“冠状病毒，新冠肺炎导致了许多人死亡。你得戴上口罩，感到害怕，用（消毒洗手液）洗手……”，接着，你便不停地生活在恐惧之中，然后你的免疫功能就下降了。99%的人生病，99%，他们在三周前都曾经有过一次很大的压力。你们都知道的。当我们说：“我感冒了”。请记住，每次当你感冒了，每次请记得，在三周前的时期里曾经有过压力。消极的或者积极的压力，都一样！你失业了？一周或两周后你感冒了。你并不会得感冒，如果你没有压力的话，你决不会得感冒。你从来都不会感冒的。但如果你有压力的话，会的。因为压力会降低你的免疫功能。压力也可以是积极的（压力），但它总是消极的。什么是积极的压力呢？你有了新男友，“哇！”新女友、新工作，“哇！”那就是压力。而且它会破坏你的免疫系统。保持免疫系统正常水平的关键是什么呢？没有压力。像佛陀一样地生活。好事发生了，欢迎。坏事发生了，欢迎。但是不要，“啊！”不要，新女友，“啊！”所有这些都会毁掉你的健康。有时甚至是立竿见影......你们知道拉斯维加斯吧？我爱拉斯维加斯。那里是美国心脏病发病率最高的地方，因为人们在赌场里赢了钱。人们在玩着愚蠢的机器，然后他们赢了。“啊！”接着他们却死了。获胜的压力杀死了他们。所以，成为你自己的佛陀吧。大笑。微笑。坏事发生了？它们会过去的。好事发生了？它们也会过去的。只是享受现在！如果你总是活在当下，就永远不会产生压力，而且你的免疫系统能够完美地运作。请记住，你健康的最大敌人就是恐惧。停止看电视新闻。有些人整天都看电视新闻，“啊！到处都有一万人死去了。”不断地，就像一把锤子似的，恐惧、恐惧、恐惧、恐惧。你走在街上，每个人都戴着口罩......我知道日本，很久以前你们就戴口罩了，当你感冒时为了保护他人，你戴上口罩，那很好。口罩是有用的，如果你生病了，可以保护他人。但如果你没有生病的话，你就不需要戴了。恰恰相反，它会让你生病的。你走在街上，每个人都戴着口罩。你去餐馆吃饭，人们都戴着口罩。当你走进餐馆时，他们会给你水凝胶（消毒洗手液）。不要接受那个，没有人能够强迫你。当我走进一家餐馆时，他们拿来了凝胶，我说，“不！不！”“不！不！“而不是“也许”。也不是“这有点儿难。”嗯？日本人的方式。对吧？日本人从不说“不”。他们说，“这有点儿难。”不！“拿着，只是洗手用的……”，“不！”请戴上口罩，“不！”然后，没有问题。让人们尊重你。最近，当Sky独自走进餐馆时，他们会要求她戴上口罩。她说不。他们试图强迫她，“如果你不戴口罩的话，我们就不给你食物。”好吧，那就再见了。她离开了。还有很多家餐馆呐。如果有一家餐馆想要强迫你，那就去另一家吧。你的自由和你的健康是更为重要的。假如每个人都接受这个愚蠢的口罩的话，那么每个人都将戴上口罩。它不仅完全无用而且还很危险，因为你呼吸的是你自己的二氧化碳。我们是由耶洛因创造出来，去吸入氧气和呼出二氧化碳的。当你戴着口罩时，你呼出和吸入的是同样的东西。所以，保护好你自己和自由的感觉才是最重要的。我希望这能够帮助你们保持身体健康。感谢您们，耶洛因！,0,0,0,0,0,0,0,0,0,0
12,大家晚上好,0,0,0,0,0,0,0,0,0,0
13,这**害死了多少印度人啊，是有成千上万的病毒细菌在周围哦，问题那些不足以致命而已。新冠病毒说不定就是魔鬼制造出来东西，你不防就真该死了,0,0,0,0,0,0,0,0,0,0
14,广东深圳几月几号能正式开工啊？疯了都,0,0,0,0,0,0,0,0,0,0
15,所以楼主你确诊了吗,0,0,0,0,0,0,0,0,0,0
16,视频来自：百度贴吧第一针没反应，第二针上午打完，下午开始耳呜，以前带蓝牙耳机时间长，也会耳鸣，但过会儿也就没事儿了，这次耳鸣是不间断的，一个多星期了，去医院也看了，目前正在吃药，针炙，不知道啥时能好，每天睡觉就是个难事儿，耳鸣响的都睡不着。,0,0,0,0,0,0,0,0,0,0
17,同情。,0,0,0,0,0,0,0,0,0,0
18,楼主现在怎么样了？还有症状吗？一直不能睡觉就太糟糕了,0,0,0,0,0,0,0,0,0,0
19,不是要28天才二针吗？,0,0,0,0,0,0,0,0,0,0
21,啥时候能好啊，前几天间断性响，还以为快好了呢，现在又长鸣了。,0,0,0,0,0,0,0,0,0,0
22,谁爱打谁打我信不过这玩意,0,0,0,0,0,0,0,0,0,0
23,我也是打完第二针，开始耳鸣了…请问怎么治疗的？现在怎么样了,0,0,0,0,0,0,0,0,0,0
24,如题,0,0,0,0,0,0,0,0,0,0
25,美国的生物实验室！基本已经实锤了,0,0,0,0,0,0,0,0,0,0
26,顶~,0,0,0,0,0,0,0,0,0,0
27,难以定罪吧。日记里都是听说，我听说，听同事说，听朋友说，听街坊说。,0,0,0,0,0,0,0,0,0,0
28,也许是因为影响小？好像除了让国内一些公知洋舔兴奋了几天也没人拿它当回事，外国人可能更不太关心了，因为他们自己都顾不过来自己,0,0,0,0,0,0,0,0,0,0
29,反面教材,0,0,0,0,0,0,0,0,0,0
30,不理会就足够了！,0,0,0,0,0,0,0,0,0,0
31,那个方方只有小格局，没有顾大局的家国情怀。,0,0,0,0,0,0,0,0,0,0
32,之前看见过一个视频贴内容为一个美剧里一个人怂恿其他人离开在太空中的飞船，好多人信了并且离开了（然后变成冰块了），但是最开始怂恿的那个人没有离开。有人拿这个比喻美国疫情下的散播谣言的人。现在帖子已经没了，我就想求求那个美剧的名字。,0,0,0,0,0,0,0,0,0,0
33,新冠有没有ADE效应？,0,0,0,0,0,0,0,0,0,0
34,ade效应必须有足够的感染者和变种,0,0,0,0,0,0,0,0,0,0
35,现在英国的这个应该是了,0,0,0,0,0,0,0,0,0,0
36,病毒在印度已经突变了，要警惕抗体依赖性增强,0,0,0,0,0,0,0,0,0,0
37,有因为已经有多个二次感染者,0,0,0,0,0,0,0,0,0,0
