,评论内容
0,手机 款式 新颖 金色 靓丽 安卓 系统 相比 运行 速度 优势 内存 256G 足够 强大 相当于 半个 500G 移动硬盘 拍照 效果 真实 清晰 后壳 很漂亮 窃以为 美中不足 壳 玻璃 6P 7P 相 比较而言 感觉 重 女孩子 不太 灵巧 包装 快递 服务态度 好几个 购物 平台 信任 京东 自营 商城 第一次 京东 买手机 满意 
1,红色 特别版 拍照 效果 特别 屏幕 续航 电量 够用 跑 分 高 秒杀 安卓 屏幕 触摸 感觉 好玩 游戏 流畅 
2,完美 机子 正品 外观 其他人 说 缝隙 昨天 到手 四个 小时 安装 下载 软件 45% 电 电池 感觉 4000ma 安卓 耐用 充电 慢 一点 流畅 一比 京东 小哥 敬业 新疆 大雪 天 送过来 感谢 小哥 
3,哈哈哈 不错 不错 老婆 买 手感 重感 轻飘飘 感觉 喜欢 终于 脸 稀巴碎 果断 买 8p 苹果 贵 真的 实在 不错 正版 瑕疵 
4,终于 入手 5999 外面 检查 完毕 检查 序列号 发现 开机 登录 id 苹果 感觉 速度 很快 辅助 控制 慢 再也 特别 流畅 麦克风 我要 大赞 真的 高音质 特别 视频 特别 清晰 拍 视频 视频 流畅 度 顺便 带上 耳机 感受一下 高音 售后 特别 亲切 客服 态度 好多年 京东 购物 经验 提醒 买 京东 自营 第三方 建议 hellip 
5,"灵敏 金色 真的 很漂亮 面粉 粉 特别 好看 
 玻璃 屏 惊险 好看 用惯 苹果 喜欢 干净利落 软件 文件 包袱 手机 轻松 运行 "
6,"愉快 购物 双 11 活动 抢购 手机 舒服 8p 外观 变 材质 玻璃 特意 奶油 粉金 做 黑色 低调 耐看 奶油 粉金 适合 女孩子 两款 喜欢 
 喜欢 指纹 8p 两款 手机 继承 顺手 运行 速度 杠杠 滴 指纹 解锁 超级 游戏 暂时 匹配 王者 荣耀 暂时 开启 高帧 率 模式 开启 90 帧 飞 哈哈哈 夜间 拍照 效果 很棒 一种 立体感 "
7,买来 玩游戏 游戏 体验 极好 手机 新 流畅 表面 没什么 满意 
8,18 日下 19 日 拿到 激活 好用 本意 想 入手 iPhone8 果断   显大 银色 漂亮 公司 查 序列号 正品 信赖 京东 
9,帮 朋友 买 喜欢 心动 经典 梦想 手机 我用 iPhone6s   朋友 8plus 满满的 回忆 8plus   A11 处理器 手机 界 强大 处理器 高通 845 麒麟 970 追赶 不上 支持 无线 充电 ip67 放水 防尘 京东 自营 物流 力 玻璃 后盖 建议 套个 手机 壳 helliphellip 
10,常好 手机 挺重 外观 完美 性能 稳定 值得 购买 京东 商城 值得 信赖 
